"Timestamp","In which State/UT do you currently live?","What is your age?","Please select your gender.","How would you describe your occupation?","How many earning members are there in your immediate family?","What is your annual household income (in rupees ₹)?","How has your overall household income changed during COVID-19?","Do you or your family have any pending loan(s)?","Did you or anyone in your family get infected by COVID-19?","Did you get vaccinated for COVID-19?","Do you have any health issue(s)? (If more than one, then please select your major health issue)","How often do you exercise or meditate?","How has COVID-19 impacted your life and future plans/goals?","During lockdown, how often do you interact (on calls/chats) with your relatives & friends?","How has your appetite changed during the lockdown?","How have your sleeping hours been affected due to the lockdown?","How satisfied are you with your state government's measures to handle COVID-19?","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt scared without any good reason]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt I was close to a panic attack]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced dryness of my mouth]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced breathing difficulty (without any physical exertion)]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced trembling (e.g. in the hands)]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Worried about situations in which I might make a fool of myself]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Increase in heart rate without any physical exertion]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I didn't experience any positive feeling at all]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it difficult to take the initiative to do things]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that I had nothing to look forward to]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt down-hearted and blue]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I was unable to feel enthusiastic about anything]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt I wasn’t worth much as a person]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that life was meaningless]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it hard to take things easily]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I tended to over-react to situations]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that I was nervous ]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found myself getting agitated]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it difficult to relax]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I was generally intolerant of things]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt unusually sensitive ]","During the past one month, which of the following have you experienced the most?"
"2021/05/22 3:41:38 PM GMT+5:30","Chhattisgarh","18 - 25 years old","Male","Unemployed","1","Less than 5 lakhs","Decreased slightly","No","No","Yes","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","Increased significantly","Increased slightly","4","1","1","1","2","2","2","1","1","2","2","1","1","2","2","3","3","2","1","1","2","3","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 3:44:07 PM GMT+5:30","Haryana","18 - 25 years old","Female","Student","2","Less than 5 lakhs","Decreased significantly","Yes","No","No","No major health problem","Every day","Major Impact","No contact at all","No change","Increased slightly","4","2","0","0","0","0","2","2","1","1","1","0","2","0","0","1","1","1","0","1","2","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 3:50:05 PM GMT+5:30","Delhi","45+ years old","Female","Government Employee","2","Less than 5 lakhs","No change","Yes","No","Yes","No major health problem","Atleast 3 days a week","Small Impact","Atleast 3 days a week","Decreased slightly","Increased slightly","4","1","2","0","0","0","1","1","1","2","1","0","0","1","1","0","1","1","2","1","2","2","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 3:54:36 PM GMT+5:30","Tamil Nadu","18 - 25 years old","Male","Private Sector Employee","2","5 - 10 lakhs","Decreased slightly","No","No","No","No major health problem","Every day","Small Impact","Ocassionally","No change","No change","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 3:55:48 PM GMT+5:30","Punjab","18 - 25 years old","Male","Government Employee","3 or more","More than 20 lakhs","No change","Yes","Yes","No","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","No change","No change","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 3:56:32 PM GMT+5:30","Punjab","18 - 25 years old","Male","Private Sector Employee","3 or more","More than 20 lakhs","Decreased slightly","No","No","Yes","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","Decreased slightly","Increased slightly","3","2","1","1","0","0","1","0","2","2","1","1","2","2","2","1","1","1","1","2","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:01:08 PM GMT+5:30","Himachal Pradesh","18 - 25 years old","Female","Unemployed","1","Less than 5 lakhs","Decreased significantly","Yes","No","No","No major health problem","Atleast 3 days a week","Considerable Impact","No contact at all","Decreased slightly","Increased slightly","3","3","0","1","0","0","2","0","2","2","3","3","3","3","3","3","3","3","3","3","3","3","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:04:14 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Female","Private Sector Employee","2","5 - 10 lakhs","No change","Yes","Yes","No","No major health problem","Not at all","No Impact","Atleast 3 days a week","Decreased slightly","Decreased slightly","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:07:08 PM GMT+5:30","Maharashtra","25 - 45 years old","Female","Self Employed","1","5 - 10 lakhs","Decreased significantly","No","Yes","No","No major health problem","Every day","Major Impact","Almost all the time/ Every day","Decreased slightly","Decreased slightly","3","1","0","0","1","0","0","1","1","2","1","0","1","0","1","1","1","0","0","1","1","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 4:08:09 PM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","3 or more","More than 20 lakhs","No change","No","No","No","No major health problem","Every day","Small Impact","Almost all the time/ Every day","Increased slightly","Increased slightly","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 4:08:29 PM GMT+5:30","Haryana","18 - 25 years old","Female","Student","1","Less than 5 lakhs","Decreased slightly","Yes","No","No","No major health problem","Ocassionally","Major Impact","Ocassionally","Decreased slightly","Decreased significantly","1","2","0","1","0","0","2","0","1","0","0","0","1","1","1","0","1","1","0","2","1","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 4:10:38 PM GMT+5:30","Delhi","18 - 25 years old","Female","Private Sector Employee","1","10 - 20 lakhs","Decreased slightly","Yes","Yes","Yes","No major health problem","Ocassionally","Small Impact","Ocassionally","Increased slightly","Increased slightly","1","3","3","2","3","2","3","3","2","3","3","3","2","3","3","2","3","3","3","1","2","3","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:10:50 PM GMT+5:30","Haryana","18 - 25 years old","Male","Student","2","5 - 10 lakhs","Decreased significantly","No","Yes","No","No major health problem","Ocassionally","Major Impact","Ocassionally","Decreased slightly","Increased slightly","2","1","1","0","0","0","0","0","1","1","0","0","2","0","2","2","1","1","1","1","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 4:11:37 PM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","2","10 - 20 lakhs","No change","No","Yes","No","No major health problem","Ocassionally","Small Impact","Atleast 3 days a week","No change","No change","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 4:13:28 PM GMT+5:30","Punjab","18 - 25 years old","Male","Unemployed","1","Less than 5 lakhs","Decreased significantly","Yes","Yes","Yes","No major health problem","Atleast 3 days a week","Major Impact","Ocassionally","Increased slightly","Increased slightly","1","0","0","1","0","1","1","1","1","1","2","1","1","1","1","1","2","0","1","0","1","1","None"
"2021/05/22 4:13:30 PM GMT+5:30","Delhi","18 - 25 years old","Female","Student","2","5 - 10 lakhs","Decreased slightly","No","No","Yes","No major health problem","Atleast 3 days a week","Small Impact","Ocassionally","Decreased slightly","Decreased slightly","2","3","1","0","0","0","2","1","1","0","1","1","2","2","1","1","3","3","3","3","3","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:15:33 PM GMT+5:30","Delhi","45+ years old","Female","Government Employee","2","10 - 20 lakhs","No change","Yes","Yes","Yes","No major health problem","Ocassionally","No Impact","Almost all the time/ Every day","No change","Decreased slightly","3","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","None"
"2021/05/22 4:18:43 PM GMT+5:30","Punjab","25 - 45 years old","Male","Self Employed","1","Less than 5 lakhs","Decreased significantly","Yes","No","No","No major health problem","Not at all","Major Impact","Almost all the time/ Every day","Decreased slightly","Decreased significantly","2","0","0","0","0","0","1","0","1","0","0","1","3","1","1","1","0","1","2","0","0","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 4:19:01 PM GMT+5:30","Rajasthan","18 - 25 years old","Female","Student","3 or more","More than 20 lakhs","Decreased slightly","No","Yes","Yes","Diabetes","Every day","Considerable Impact","Almost all the time/ Every day","Decreased significantly","Decreased significantly","3","1","0","0","0","0","2","0","0","0","2","1","2","2","2","2","1","0","1","2","1","2","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 4:22:08 PM GMT+5:30","Gujarat","18 - 25 years old","Male","Student","2","More than 20 lakhs","Decreased significantly","Yes","Yes","Yes","No major health problem","Ocassionally","Considerable Impact","Almost all the time/ Every day","Decreased slightly","Increased slightly","2","0","0","0","0","0","1","0","2","2","2","2","2","2","0","0","0","1","1","1","0","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 4:22:16 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Male","Student","2","More than 20 lakhs","No change","Yes","Yes","No","No major health problem","Ocassionally","No Impact","Atleast 3 days a week","No change","Increased slightly","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","None"
"2021/05/22 4:23:17 PM GMT+5:30","Himachal Pradesh","25 - 45 years old","Female","Unemployed","2","Less than 5 lakhs","Decreased slightly","No","No","Yes","No major health problem","Every day","Considerable Impact","Almost all the time/ Every day","Increased slightly","Increased slightly","3","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 4:26:32 PM GMT+5:30","Delhi","18 - 25 years old","Male","Student","1","More than 20 lakhs","No change","No","Yes","Yes","No major health problem","Atleast 3 days a week","Major Impact","Atleast 3 days a week","Increased significantly","Decreased significantly","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 4:27:30 PM GMT+5:30","Punjab","25 - 45 years old","Male","Private Sector Employee","2","Less than 5 lakhs","Decreased significantly","Yes","No","Yes","No major health problem","Every day","Considerable Impact","Ocassionally","Decreased slightly","Increased slightly","2","1","2","1","1","2","2","2","3","2","2","3","0","0","1","1","1","0","1","0","0","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:28:47 PM GMT+5:30","Telangana","18 - 25 years old","Male","Student","2","More than 20 lakhs","Decreased slightly","Yes","Yes","No","No major health problem","Every day","Small Impact","Almost all the time/ Every day","Increased significantly","Increased sigificantly","1","0","0","0","0","0","1","0","0","1","2","1","1","2","3","1","0","1","2","2","1","0","None"
"2021/05/22 4:30:25 PM GMT+5:30","Delhi","18 - 25 years old","Female","Student","2","10 - 20 lakhs","Decreased slightly","No","Yes","No","No major health problem","Ocassionally","Small Impact","Almost all the time/ Every day","Decreased significantly","Decreased significantly","1","1","3","0","1","3","3","3","3","2","3","3","3","2","2","2","3","2","2","3","1","3","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:31:18 PM GMT+5:30","Delhi","16 - 18 years old","Male","Student","1","Less than 5 lakhs","Decreased slightly","Yes","No","No","No major health problem","Ocassionally","Considerable Impact","Ocassionally","Increased slightly","Increased slightly","3","1","0","0","1","1","0","1","1","0","3","3","2","1","0","0","0","2","2","1","0","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:32:34 PM GMT+5:30","Telangana","18 - 25 years old","Female","Student","3 or more","5 - 10 lakhs","Decreased significantly","No","Yes","Yes","No major health problem","Not at all","Major Impact","Almost all the time/ Every day","Increased significantly","Decreased slightly","1","2","1","2","0","2","3","3","2","3","2","2","1","3","3","2","3","2","3","3","3","3","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 4:32:43 PM GMT+5:30","Delhi","16 - 18 years old","Female","Student","2","5 - 10 lakhs","Decreased slightly","Yes","Yes","No","No major health problem","Ocassionally","Major Impact","Atleast 3 days a week","Decreased slightly","Increased slightly","2","2","2","2","2","1","2","3","2","2","2","2","2","2","2","2","2","3","1","2","2","2","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:33:05 PM GMT+5:30","Delhi","18 - 25 years old","Male","Student","1","5 - 10 lakhs","Decreased slightly","No","No","No","No major health problem","Ocassionally","No Impact","Atleast 3 days a week","No change","Increased slightly","4","0","0","1","0","0","0","2","0","1","1","0","1","0","0","0","0","0","0","0","0","2","None"
"2021/05/22 4:34:33 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Female","Student","1","Less than 5 lakhs","Decreased significantly","No","No","No","No major health problem","Ocassionally","Considerable Impact","Almost all the time/ Every day","Decreased slightly","Decreased slightly","3","2","2","1","0","1","2","0","1","1","2","1","1","2","1","1","1","1","1","1","0","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 4:35:25 PM GMT+5:30","Telangana","18 - 25 years old","Male","Student","1","Less than 5 lakhs","No change","No","Yes","No","No major health problem","Ocassionally","Major Impact","Almost all the time/ Every day","Increased slightly","Increased slightly","3","3","3","2","0","0","2","3","1","1","0","2","1","2","1","2","3","2","2","2","1","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 4:37:03 PM GMT+5:30","Chandigarh","18 - 25 years old","Male","Self Employed","2","Less than 5 lakhs","Decreased significantly","No","Yes","No","No major health problem","Every day","Considerable Impact","Almost all the time/ Every day","No change","No change","3","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","2","0","0","0","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:37:40 PM GMT+5:30","Delhi","18 - 25 years old","Male","Student","1","Less than 5 lakhs","Decreased slightly","No","No","Yes","No major health problem","Not at all","Considerable Impact","Ocassionally","Decreased significantly","Decreased slightly","4","1","0","0","0","0","1","0","1","0","0","0","1","0","0","1","2","1","0","1","0","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 4:38:35 PM GMT+5:30","Delhi","16 - 18 years old","Male","Student","1","Less than 5 lakhs","Decreased significantly","No","No","No","No major health problem","Ocassionally","Considerable Impact","Almost all the time/ Every day","Decreased slightly","Increased slightly","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 4:39:52 PM GMT+5:30","Madhya Pradesh","18 - 25 years old","Male","Student","3 or more","Less than 5 lakhs","Decreased significantly","No","No","Yes","No major health problem","Not at all","Major Impact","Ocassionally","Decreased slightly","Decreased significantly","1","2","2","1","1","3","1","2","2","1","2","0","3","3","3","3","3","3","3","3","3","3","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 4:40:26 PM GMT+5:30","Gujarat","18 - 25 years old","Male","Private Sector Employee","1","Less than 5 lakhs","Decreased significantly","No","No","Yes","No major health problem","Ocassionally","Considerable Impact","Almost all the time/ Every day","Decreased significantly","Increased slightly","2","3","1","3","1","2","3","2","3","3","2","2","3","3","3","3","3","3","3","3","3","3","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 4:43:46 PM GMT+5:30","Maharashtra","18 - 25 years old","Male","Student","1","5 - 10 lakhs","Decreased slightly","No","No","No","No major health problem","Not at all","Small Impact","Almost all the time/ Every day","Decreased slightly","Increased slightly","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 4:44:03 PM GMT+5:30","Delhi","18 - 25 years old","Male","Unemployed","1","5 - 10 lakhs","Decreased slightly","Yes","Yes","No","No major health problem","Atleast 3 days a week","Considerable Impact","Ocassionally","Increased slightly","Decreased significantly","2","1","0","0","0","0","1","1","1","2","2","1","1","1","1","0","1","1","1","0","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 4:47:20 PM GMT+5:30","Maharashtra","18 - 25 years old","Male","Student","2","10 - 20 lakhs","No change","Yes","No","No","No major health problem","Not at all","Small Impact","Ocassionally","Increased slightly","Increased sigificantly","2","2","2","2","1","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 4:48:47 PM GMT+5:30","Delhi","18 - 25 years old","Male","Student","2","10 - 20 lakhs","Decreased significantly","Yes","No","No","No major health problem","Every day","Small Impact","Ocassionally","No change","Increased slightly","3","0","0","0","0","0","1","0","2","0","0","3","3","0","0","0","1","0","0","1","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 4:48:51 PM GMT+5:30","Himachal Pradesh","18 - 25 years old","Male","Student","2","5 - 10 lakhs","No change","Yes","No","No","No major health problem","Every day","Major Impact","Almost all the time/ Every day","Increased slightly","Increased slightly","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","None"
"2021/05/22 4:49:23 PM GMT+5:30","Chandigarh","18 - 25 years old","Female","Private Sector Employee","3 or more","More than 20 lakhs","No change","Yes","Yes","No","No major health problem","Ocassionally","Major Impact","Ocassionally","Increased slightly","Decreased slightly","3","2","0","0","0","0","2","0","1","1","0","0","3","1","0","1","2","0","2","3","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 4:49:43 PM GMT+5:30","Delhi","16 - 18 years old","Female","Student","2","5 - 10 lakhs","No change","No","No","No","No major health problem","Every day","Considerable Impact","Ocassionally","No change","No change","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","None"
"2021/05/22 4:54:29 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Male","Private Sector Employee","2","10 - 20 lakhs","Decreased slightly","No","Yes","No","No major health problem","Atleast 3 days a week","Considerable Impact","Atleast 3 days a week","No change","Increased slightly","4","2","2","2","0","0","2","2","2","2","1","0","1","2","1","1","2","2","2","2","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
